Cumulative proportion of private cars, in increasing order of mileage;Cumulative proportion of total mileage
0.0;0.0
0.09999793402980671;0.009276545643366486
0.19997691305984092;0.03809701753190317
0.2999972438038816;0.08333829796714384
0.3999994419997524;0.14536191897920853
0.49997529864014106;0.22522804353704007
0.5999983825694728;0.311331185659993
0.6999989914301491;0.4195590219610697
0.799999240589158;0.5491223774883712
0.8999793303725656;0.7169950101520446
1.0000000000000007;1.0000000000000004
